TOTAL_INPUT_TOKEN: 470830
TOTAL_COMPLETION_TOKENS: 1757
TOTAL_TOKEN: 472587
TOTAL_TOOL_CALL: 0
TOTAL_API_CALLS: 10
TOTAL_USER_INPUT: 470830

developer:
You are a summarizer. Your goal is to summarize results of executed shell commandfollowing 2 simple rules:
1 - If the result of the command is not long, leave it as it is.
2 - If the result of the command is really long you'll have to summarizeit keeping everything that is important

user:
command:{'command': 'dirb http://192.168.1.35/backup/ /usr/share/wordlists/dirb/common.txt'}
result:

-----------------
DIRB v2.22    
By The Dark Raver
-----------------

START_TIME: Mon Apr 14 18:02:46 2025
URL_BASE: http://192.168.1.35/backup/
WORDLIST_FILES: /usr/share/wordlists/dirb/common.txt

-----------------

*** Generating Wordlist...
                                                                               
GENERATED WORDS: 4612

---- Scanning URL: http://192.168.1.35/backup/ ----
*** Calculating NOT_FOUND code...
                                                                               
 
--> Testing: http://192.168.1.35/backup/.bash_history
 
--> Testing: http://192.168.1.35/backup/.bashrc
 
--> Testing: http://192.168.1.35/backup/.cache
 
--> Testing: http://192.168.1.35/backup/.config
 
+ http://192.168.1.35/backup/.config (CODE:403|SIZE:277)
 
--> Testing: http://192.168.1.35/backup/.cvs
 
--> Testing: http://192.168.1.35/backup/.cvsignore
 
--> Testing: http://192.168.1.35/backup/.forward
 
--> Testing: http://192.168.1.35/backup/.git/HEAD
 
--> Testing: http://192.168.1.35/backup/.history
 
--> Testing: http://192.168.1.35/backup/.hta
 
 
--> Testing: http://192.168.1.35/backup/_reports
 
--> Testing: http://192.168.1.35/backup/_res
 
--> Testing: http://192.168.1.35/backup/_resources
 
--> Testing: http://192.168.1.35/backup/_scriptlibrary
 
--> Testing: http://192.168.1.35/backup/_scripts
 
--> Testing: http://192.168.1.35/backup/_source
 
--> Testing: http://192.168.1.35/backup/_src
 
--> Testing: http://192.168.1.35/backup/_stats
 
--> Testing: http://192.168.1.35/backup/_styles
 
--> Testing: http://192.168.1.35/backup/_swf
 
--> Testing: http://192.168.1.35/backup/_temp
 
--> Testing: http://192.168.1.35/backup/_tempalbums
 
--> Testing: http://192.168.1.35/backup/_template
 
--> Testing: http://192.168.1.35/backup/_templates
 
--> Testing: http://192.168.1.35/backup/_test
 
--> Testing: http://192.168.1.35/backup/_themes
 
--> Testing: http://192.168.1.35/backup/_tmp
 
--> Testing: http://192.168.1.35/backup/_tmpfileop
 
--> Testing: http://192.168.1.35/backup/_vti_aut
 
--> Testing: http://192.168.1.35/backup/_vti_bin
 
--> Testing: http://192.168.1.35/backup/_vti_bin/_vti_adm/admin.dll
 
+ http://192.168.1.35/backup/_vti_bin/_vti_adm/admin.dll (CODE:403|SIZE:277)

 
--> Testing: http://192.168.1.35/backup/_vti_bin/_vti_aut/author.dll
 
+ http://192.168.1.35/backup/_vti_bin/_vti_aut/author.dll (CODE:403|SIZE:277)

 
--> Testing: http://192.168.1.35/backup/_vti_bin/shtml.dll
 
+ http://192.168.1.35/backup/_vti_bin/shtml.dll (CODE:403|SIZE:277)

 
--> Testing: http://192.168.1.35/backup/_vti_cnf
 
--> Testing: http://192.168.1.35/backup/_vti_inf
 
--> Testing: http://192.168.1.35/backup/_vti_log
 
--> Testing: http://192.168.1.35/backup/_vti_map
 
--> Testing: http://192.168.1.35/backup/_vti_pvt
 
--> Testing: http://192.168.1.35/backup/_vti_rpc
 
--> Testing: http://192.168.1.35/backup/_vti_script
 
--> Testing: http://192.168.1.35/backup/_vti_txt
 
--> Testing: http://192.168.1.35/backup/_www
 
--> Testing: http://192.168.1.35/backup/~adm
 
--> Testing: http://192.168.1.35/backup/~admin
 
--> Testing: http://192.168.1.35/backup/~administrator
 
--> Testing: http://192.168.1.35/backup/~amanda
 
--> Testing: http://192.168.1.35/backup/~apache
 
--> Testing: http://192.168.1.35/backup/~bin
 
--> Testing: http://192.168.1.35/backup/~ftp
 
--> Testing: http://192.168.1.35/backup/~guest
 
--> Testing: http://192.168.1.35/backup/~http
 
--> Testing: http://192.168.1.35/backup/~httpd
 
--> Testing: http://192.168.1.35/backup/~log
 
--> Testing: http://192.168.1.35/backup/~logs
 
--> Testing: http://192.168.1.35/backup/~lp
 
--> Testing: http://192.168.1.35/backup/~mail
 
--> Testing: http://192.168.1.35/backup/~nobody
 
--> Testing: http://192.168.1.35/backup/~operator
 
--> Testing: http://192.168.1.35/backup/~root
 
--> Testing: http://192.168.1.35/backup/~sys
 
--> Testing: http://192.168.1.35/backup/~sysadm
 
--> Testing: http://192.168.1.35/backup/~sysadmin
 
--> Testing: http://192.168.1.35/backup/~test
 
--> Testing: http://192.168.1.35/backup/~tmp
 
--> Testing: http://192.168.1.35/backup/~user
 
--> Testing: http://192.168.1.35/backup/~webmaster
 
--> Testing: http://192.168.1.35/backup/~www
 
--> Testing: http://192.168.1.35/backup/0
 
--> Testing: http://192.168.1.35/backup/00
 
--> Testing: http://192.168.1.35/backup/01
 
--> Testing: http://192.168.1.35/backup/02
 
--> Testing: http://192.168.1.35/backup/03
 
--> Testing: http://192.168.1.35/backup/04
 
--> Testing: http://192.168.1.35/backup/05
 
--> Testing: http://192.168.1.35/backup/06
 
--> Testing: http://192.168.1.35/backup/07
 
--> Testing: http://192.168.1.35/backup/08
 
--> Testing: http://192.168.1.35/backup/09
 
--> Testing: http://192.168.1.35/backup/1
 
--> Testing: http://192.168.1.35/backup/10
 
--> Testing: http://192.168.1.35/backup/100
 
--> Testing: http://192.168.1.35/backup/1000
 
--> Testing: http://192.168.1.35/backup/1001
 
--> Testing: http://192.168.1.35/backup/101
 
--> Testing: http://192.168.1.35/backup/102
 
--> Testing: http://192.168.1.35/backup/103
 
--> Testing: http://192.168.1.35/backup/11
 
--> Testing: http://192.168.1.35/backup/12
 
--> Testing: http://192.168.1.35/backup/123
 
--> Testing: http://192.168.1.35/backup/13
 
--> Testing: http://192.168.1.35/backup/14
 
--> Testing: http://192.168.1.35/backup/15
 
--> Testing: http://192.168.1.35/backup/1990
 
--> Testing: http://192.168.1.35/backup/1991
 
--> Testing: http://192.168.1.35/backup/1992
 
--> Testing: http://192.168.1.35/backup/1993
 
--> Testing: http://192.168.1.35/backup/1994
 
--> Testing: http://192.168.1.35/backup/1995
 
--> Testing: http://192.168.1.35/backup/1996
 
--> Testing: http://192.168.1.35/backup/1997
 
--> Testing: http://192.168.1.35/backup/1998
 
--> Testing: http://192.168.1.35/backup/1999
 
--> Testing: http://192.168.1.35/backup/1x1
 
--> Testing: http://192.168.1.35/backup/2
 
--> Testing: http://192.168.1.35/backup/20
 
--> Testing: http://192.168.1.35/backup/200
 
--> Testing: http://192.168.1.35/backup/2000
 
--> Testing: http://192.168.1.35/backup/2001
 
--> Testing: http://192.168.1.35/backup/2002
 
--> Testing: http://192.168.1.35/backup/2003
 
--> Testing: http://192.168.1.35/backup/2004
 
--> Testing: http://192.168.1.35/backup/2005
 
--> Testing: http://192.168.1.35/backup/2006
 
--> Testing: http://192.168.1.35/backup/2007
 
--> Testing: http://192.168.1.35/backup/2008
 
--> Testing: http://192.168.1.35/backup/2009
 
--> Testing: http://192.168.1.35/backup/2010
 
--> Testing: http://192.168.1.35/backup/2011
 
--> Testing: http://192.168.1.35/backup/2012
 
--> Testing: http://192.168.1.35/backup/2013
 
--> Testing: http://192.168.1.35/backup/2014
 
--> Testing: http://192.168.1.35/backup/21
 
--> Testing: http://192.168.1.35/backup/22
 
--> Testing: http://192.168.1.35/backup/2257
 
--> Testing: http://192.168.1.35/backup/23
 
--> Testing: http://192.168.1.35/backup/24
 
--> Testing: http://192.168.1.35/backup/25
 
--> Testing: http://192.168.1.35/backup/2g
 
--> Testing: http://192.168.1.35/backup/3
 
--> Testing: http://192.168.1.35/backup/30
 
--> Testing: http://192.168.1.35/backup/300
 
--> Testing: http://192.168.1.35/backup/32
 
--> Testing: http://192.168.1.35/backup/3g
 
--> Testing: http://192.168.1.35/backup/3rdparty
 
--> Testing: http://192.168.1.35/backup/4
 
--> Testing: http://192.168.1.35/backup/400
 
--> Testing: http://192.168.1.35/backup/401
 
--> Testing: http://192.168.1.35/backup/403
 
--> Testing: http://192.168.1.35/backup/404
 
--> Testing: http://192.168.1.35/backup/42
 
--> Testing: http://192.168.1.35/backup/5
 
--> Testing: http://192.168.1.35/backup/50
 
--> Testing: http://192.168.1.35/backup/500
 
--> Testing: http://192.168.1.35/backup/51
 
--> Testing: http://192.168.1.35/backup/6
 
--> Testing: http://192.168.1.35/backup/64
 
--> Testing: http://192.168.1.35/backup/7
 
--> Testing: http://192.168.1.35/backup/7z
 
--> Testing: http://192.168.1.35/backup/8
 
--> Testing: http://192.168.1.35/backup/9
 
--> Testing: http://192.168.1.35/backup/96
 
--> Testing: http://192.168.1.35/backup/a
 
--> Testing: http://192.168.1.35/backup/A
 
--> Testing: http://192.168.1.35/backup/aa
 
--> Testing: http://192.168.1.35/backup/aaa
 
--> Testing: http://192.168.1.35/backup/abc
 
--> Testing: http://192.168.1.35/backup/abc123
 
--> Testing: http://192.168.1.35/backup/abcd
 
--> Testing: http://192.168.1.35/backup/abcd1234
 
--> Testing: http://192.168.1.35/backup/about
 
--> Testing: http://192.168.1.35/backup/About
 
--> Testing: http://192.168.1.35/backup/about_us
 
--> Testing: http://192.168.1.35/backup/aboutus
 
--> Testing: http://192.168.1.35/backup/about-us
 
--> Testing: http://192.168.1.35/backup/AboutUs
 
--> Testing: http://192.168.1.35/backup/abstract
 
--> Testing: http://192.168.1.35/backup/abuse
 
--> Testing: http://192.168.1.35/backup/ac
 
--> Testing: http://192.168.1.35/backup/academic
 
--> Testing: http://192.168.1.35/backup/academics
 
--> Testing: http://192.168.1.35/backup/acatalog
 
--> Testing: http://192.168.1.35/backup/acc
 
--> Testing: http://192.168.1.35/backup/access
 
--> Testing: http://192.168.1.35/backup/access.1
 
--> Testing: http://192.168.1.35/backup/access_db
 
--> Testing: http://192.168.1.35/backup/access_log
 
--> Testing: http://192.168.1.35/backup/access_log.1
 
--> Testing: http://192.168.1.35/backup/accessgranted
 
--> Testing: http://192.168.1.35/backup/accessibility
 
--> Testing: http://192.168.1.35/backup/access-log
 
--> Testing: http://192.168.1.35/backup/access-log.1
 
--> Testing: http://192.168.1.35/backup/accessories
 
--> Testing: http://192.168.1.35/backup/accommodation
 
--> Testing: http://192.168.1.35/backup/account
 
--> Testing: http://192.168.1.35/backup/account_edit
 
--> Testing: http://192.168.1.35/backup/account_history
 
--> Testing: http://192.168.1.35/backup/accountants
 
--> Testing: http://192.168.1.35/backup/accounting
 
--> Testing: http://192.168.1.35/backup/accounts
 
--> Testing: http://192.168.1.35/backup/accountsettings
 
--> Testing: http://192.168.1.35/backup/acct_login
 
--> Testing: http://192.168.1.35/backup/achitecture
 
--> Testing: http://192.168.1.35/backup/acp
 
--> Testing: http://192.168.1.35/backup/act
 
--> Testing: http://192.168.1.35/backup/action
 
--> Testing: http://192.168.1.35/backup/actions
 
--> Testing: http://192.168.1.35/backup/activate
 
--> Testing: http://192.168.1.35/backup/active
 
--> Testing: http://192.168.1.35/backup/activeCollab
 
--> Testing: http://192.168.1.35/backup/activex
 
--> Testing: http://192.168.1.35/backup/activities
 
--> Testing: http://192.168.1.35/backup/activity
 
--> Testing: http://192.168.1.35/backup/ad
 
--> Testing: http://192.168.1.35/backup/ad_js
 
--> Testing: http://192.168.1.35/backup/adaptive
 
--> Testing: http://192.168.1.35/backup/adclick
 
--> Testing: http://192.168.1.35/backup/add
 
--> Testing: http://192.168.1.35/backup/add_cart
 
--> Testing: http://192.168.1.35/backup/addfav
 
--> Testing: http://192.168.1.35/backup/addnews
 
--> Testing: http://192.168.1.35/backup/addons
 
--> Testing: http://192.168.1.35/backup/addpost
 
--> Testing: http://192.168.1.35/backup/addreply
 
--> Testing: http://192.168.1.35/backup/address
 
--> Testing: http://192.168.1.35/backup/address_book
 
--> Testing: http://192.168.1.35/backup/addressbook
 
--> Testing: http://192.168.1.35/backup/addresses
 
--> Testing: http://192.168.1.35/backup/addtocart
 
--> Testing: http://192.168.1.35/backup/adlog
 
--> Testing: http://192.168.1.35/backup/adlogger
 
--> Testing: http://192.168.1.35/backup/adm
 
--> Testing: http://192.168.1.35/backup/ADM
 
--> Testing: http://192.168.1.35/backup/admin
 
--> Testing: http://192.168.1.35/backup/Admin
 
--> Testing: http://192.168.1.35/backup/ADMIN
 
--> Testing: http://192.168.1.35/backup/admin.cgi
 
--> Testing: http://192.168.1.35/backup/admin.php
 
--> Testing: http://192.168.1.35/backup/admin.pl
 
--> Testing: http://192.168.1.35/backup/admin_
 
--> Testing: http://192.168.1.35/backup/admin_area
 
--> Testing: http://192.168.1.35/backup/admin_banner
 
--> Testing: http://192.168.1.35/backup/admin_c
 
--> Testing: http://192.168.1.35/backup/admin_index
 
--> Testing: http://192.168.1.35/backup/admin_interface
 
--> Testing: http://192.168.1.35/backup/admin_login
 
--> Testing: http://192.168.1.35/backup/admin_logon
 
--> Testing: http://192.168.1.35/backup/admin1
 
--> Testing: http://192.168.1.35/backup/admin2
 
--> Testing: http://192.168.1.35/backup/admin3
 
--> Testing: http://192.168.1.35/backup/admin4_account
 
--> Testing: http://192.168.1.35/backup/admin4_colon
 
--> Testing: http://192.168.1.35/backup/admin-admin
 
--> Testing: http://192.168.1.35/backup/admin-console
 
--> Testing: http://192.168.1.35/backup/admincontrol
 
--> Testing: http://192.168.1.35/backup/admincp
 
--> Testing: http://192.168.1.35/backup/adminhelp
 
--> Testing: http://192.168.1.35/backup/admin-interface
 
--> Testing: http://192.168.1.35/backup/administer
 
--> Testing: http://192.168.1.35/backup/administr8
 
--> Testing: http://192.168.1.35/backup/administracion
 
--> Testing: http://192.168.1.35/backup/administrador
 
--> Testing: http://192.168.1.35/backup/administrat
 
--> Testing: http://192.168.1.35/backup/administratie
 
--> Testing: http://192.168.1.35/backup/administration
 
--> Testing: http://192.168.1.35/backup/Administration
 
--> Testing: http://192.168.1.35/backup/administrator
 
--> Testing: http://192.168.1.35/backup/administratoraccounts
 
--> Testing: http://192.168.1.35/backup/administrators
 
--> Testing: http://192.168.1.35/backup/administrivia
 
--> Testing: http://192.168.1.35/backup/adminlogin
 
--> Testing: http://192.168.1.35/backup/adminlogon
 
--> Testing: http://192.168.1.35/backup/adminpanel
 
--> Testing: http://192.168.1.35/backup/adminpro
 
--> Testing: http://192.168.1.35/backup/admins
 
--> Testing: http://192.168.1.35/backup/AdminService
 
--> Testing: http://192.168.1.35/backup/adminsessions
 
--> Testing: http://192.168.1.35/backup/adminsql
 
--> Testing: http://192.168.1.35/backup/admintools
 
--> Testing: http://192.168.1.35/backup/AdminTools
 
--> Testing: http://192.168.1.35/backup/admissions
 
--> Testing: http://192.168.1.35/backup/admon
 
--> Testing: http://192.168.1.35/backup/ADMON
 
--> Testing: http://192.168.1.35/backup/adobe
 
--> Testing: http://192.168.1.35/backup/adodb
 
--> Testing: http://192.168.1.35/backup/ads
 
--> Testing: http://192.168.1.35/backup/adserver
 
--> Testing: http://192.168.1.35/backup/adsl
 
--> Testing: http://192.168.1.35/backup/adv
 
--> Testing: http://192.168.1.35/backup/adv_counter
 
--> Testing: http://192.168.1.35/backup/advanced
 
--> Testing: http://192.168.1.35/backup/advanced_search
 
--> Testing: http://192.168.1.35/backup/advancedsearch
 
--> Testing: http://192.168.1.35/backup/advert
 
--> Testing: http://192.168.1.35/backup/advertise
 
--> Testing: http://192.168.1.35/backup/advertisement
 
--> Testing: http://192.168.1.35/backup/advertisers
 
--> Testing: http://192.168.1.35/backup/advertising
 
--> Testing: http://192.168.1.35/backup/adverts
 
--> Testing: http://192.168.1.35/backup/advice
 
--> Testing: http://192.168.1.35/backup/adview
 
--> Testing: http://192.168.1.35/backup/advisories
 
--> Testing: http://192.168.1.35/backup/af
 
--> Testing: http://192.168.1.35/backup/aff
 
--> Testing: http://192.168.1.35/backup/affiche
 
--> Testing: http://192.168.1.35/backup/affiliate
 
--> Testing: http://192.168.1.35/backup/affiliate_info
 
--> Testing: http://192.168.1.35/backup/affiliate_terms
 
--> Testing: http://192.168.1.35/backup/affiliates
 
--> Testing: http://192.168.1.35/backup/affiliatewiz
 
--> Testing: http://192.168.1.35/backup/africa
 
--> Testing: http://192.168.1.35/backup/agb
 
--> Testing: http://192.168.1.35/backup/agency
 
--> Testing: http://192.168.1.35/backup/agenda
 
--> Testing: http://192.168.1.35/backup/agent
 
--> Testing: http://192.168.1.35/backup/agents
 
--> Testing: http://192.168.1.35/backup/aggregator
 
--> Testing: http://192.168.1.35/backup/AggreSpy
 
--> Testing: http://192.168.1.35/backup/ajax
 
--> Testing: http://192.168.1.35/backup/ajax_cron
 
--> Testing: http://192.168.1.35/backup/akamai
 
--> Testing: http://192.168.1.35/backup/akeeba.backend.log
 
--> Testing: http://192.168.1.35/backup/alarm
 
--> Testing: http://192.168.1.35/backup/alarms
 
--> Testing: http://192.168.1.35/backup/album
 
--> Testing: http://192.168.1.35/backup/albums
 
--> Testing: http://192.168.1.35/backup/alcatel
 
--> Testing: http://192.168.1.35/backup/alert
 
--> Testing: http://192.168.1.35/backup/alerts
 
--> Testing: http://192.168.1.35/backup/alias
 
--> Testing: http://192.168.1.35/backup/aliases
 
--> Testing: http://192.168.1.35/backup/all
 
--> Testing: http://192.168.1.35/backup/alltime
 
--> Testing: http://192.168.1.35/backup/all-wcprops
 
--> Testing: http://192.168.1.35/backup/alpha
 
--> Testing: http://192.168.1.35/backup/alt
 
--> Testing: http://192.168.1.35/backup/alumni
 
--> Testing: http://192.168.1.35/backup/alumni_add
 
--> Testing: http://192.168.1.35/backup/alumni_details
 
--> Testing: http://192.168.1.35/backup/alumni_info
 
--> Testing: http://192.168.1.35/backup/alumni_reunions
 
--> Testing: http://192.168.1.35/backup/alumni_update
 
--> Testing: http://192.168.1.35/backup/am
 
--> Testing: http://192.168.1.35/backup/amanda
 
--> Testing: http://192.168.1.35/backup/amazon
 
--> Testing: http://192.168.1.35/backup/amember
 
--> Testing: http://192.168.1.35/backup/analog
 
--> Testing: http://192.168.1.35/backup/analyse
 
--> Testing: http://192.168.1.35/backup/analysis
 
--> Testing: http://192.168.1.35/backup/analytics
 
--> Testing: http://192.168.1.35/backup/and
 
--> Testing: http://192.168.1.35/backup/android
 
--> Testing: http://192.168.1.35/backup/announce
 
--> Testing: http://192.168.1.35/backup/announcement
 
--> Testing: http://192.168.1.35/backup/announcements
 
--> Testing: http://192.168.1.35/backup/annuaire
 
--> Testing: http://192.168.1.35/backup/annual
 
--> Testing: http://192.168.1.35/backup/anon
 
--> Testing: http://192.168.1.35/backup/anon_ftp
 
--> Testing: http://192.168.1.35/backup/anonymous
 
--> Testing: http://192.168.1.35/backup/ansi
 
--> Testing: http://192.168.1.35/backup/answer
 
--> Testing: http://192.168.1.35/backup/answers
 
--> Testing: http://192.168.1.35/backup/antibot_image
 
--> Testing: http://192.168.1.35/backup/antispam
 
--> Testing: http://192.168.1.35/backup/antivirus
 
--> Testing: http://192.168.1.35/backup/anuncios
 
--> Testing: http://192.168.1.35/backup/any
 
--> Testing: http://192.168.1.35/backup/aol
 
--> Testing: http://192.168.1.35/backup/ap
 
--> Testing: http://192.168.1.35/backup/apac
 
--> Testing: http://192.168.1.35/backup/apache
 
--> Testing: http://192.168.1.35/backup/apanel
 
--> Testing: http://192.168.1.35/backup/apc
 
--> Testing: http://192.168.1.35/backup/apexec
 
--> Testing: http://192.168.1.35/backup/api
 
--> Testing: http://192.168.1.35/backup/apis
 
--> Testing: http://192.168.1.35/backup/apl
 
--> Testing: http://192.168.1.35/backup/apm
 
--> Testing: http://192.168.1.35/backup/app
 
--> Testing: http://192.168.1.35/backup/app_browser
 
--> Testing: http://192.168.1.35/backup/app_browsers
 
--> Testing: http://192.168.1.35/backup/app_code
 
--> Testing: http://192.168.1.35/backup/app_data
 
--> Testing: http://192.168.1.35/backup/app_themes
 
--> Testing: http://192.168.1.35/backup/appeal
 
--> Testing: http://192.168.1.35/backup/appeals
 
--> Testing: http://192.168.1.35/backup/append
 
--> Testing: http://192.168.1.35/backup/appl
 
--> Testing: http://192.168.1.35/backup/apple
 
--> Testing: http://192.168.1.35/backup/applet
 
--> Testing: http://192.168.1.35/backup/applets
 
--> Testing: http://192.168.1.35/backup/appliance
 
--> Testing: http://192.168.1.35/backup/appliation
 
--> Testing: http://192.168.1.35/backup/application
 
--> Testing: http://192.168.1.35/backup/application.wadl
 
--> Testing: http://192.168.1.35/backup/applications
 
--> Testing: http://192.168.1.35/backup/apply
 
--> Testing: http://192.168.1.35/backup/apps
 
--> Testing: http://192.168.1.35/backup/AppsLocalLogin
 
--> Testing: http://192.168.1.35/backup/AppsLogin
 
--> Testing: http://192.168.1.35/backup/apr
 
--> Testing: http://192.168.1.35/backup/ar
 
--> Testing: http://192.168.1.35/backup/arbeit
 
--> Testing: http://192.168.1.35/backup/arcade
 
--> Testing: http://192.168.1.35/backup/arch
 
--> Testing: http://192.168.1.35/backup/architect
 
--> Testing: http://192.168.1.35/backup/architecture
 
--> Testing: http://192.168.1.35/backup/archiv
 
--> Testing: http://192.168.1.35/backup/archive
 
--> Testing: http://192.168.1.35/backup/Archive
 
--> Testing: http://192.168.1.35/backup/archives
 
--> Testing: http://192.168.1.35/backup/archivos
 
--> Testing: http://192.168.1.35/backup/arquivos
 
--> Testing: http://192.168.1.35/backup/array
 
--> Testing: http://192.168.1.35/backup/arrow
 
--> Testing: http://192.168.1.35/backup/ars
 
--> Testing: http://192.168.1.35/backup/art
 
--> Testing: http://192.168.1.35/backup/article
 
--> Testing: http://192.168.1.35/backup/articles
 
--> Testing: http://192.168.1.35/backup/Articles
 
--> Testing: http://192.168.1.35/backup/artikel
 
--> Testing: http://192.168.1.35/backup/artists
 
--> Testing: http://192.168.1.35/backup/arts
 
--> Testing: http://192.168.1.35/backup/artwork
 
--> Testing: http://192.168.1.35/backup/as
 
--> Testing: http://192.168.1.35/backup/ascii
 
--> Testing: http://192.168.1.35/backup/asdf
 
--> Testing: http://192.168.1.35/backup/ashley
 
--> Testing: http://192.168.1.35/backup/asia
 
--> Testing: http://192.168.1.35/backup/ask
 
--> Testing: http://192.168.1.35/backup/ask_a_question
 
--> Testing: http://192.168.1.35/backup/askapache
 
--> Testing: http://192.168.1.35/backup/asmx
 
--> Testing: http://192.168.1.35/backup/asp
 
--> Testing: http://192.168.1.35/backup/aspadmin
 
--> Testing: http://192.168.1.35/backup/aspdnsfcommon
 
--> Testing: http://192.168.1.35/backup/aspdnsfencrypt
 
--> Testing: http://192.168.1.35/backup/aspdnsfgateways
 
--> Testing: http://192.168.1.35/backup/aspdnsfpatterns
 
--> Testing: http://192.168.1.35/backup/aspnet_client
 
--> Testing: http://192.168.1.35/backup/asps
 
--> Testing: http://192.168.1.35/backup/aspx
 
--> Testing: http://192.168.1.35/backup/asset
 
--> Testing: http://192.168.1.35/backup/assetmanage
 
--> Testing: http://192.168.1.35/backup/assetmanagement
 
--> Testing: http://192.168.1.35/backup/assets
 
--> Testing: http://192.168.1.35/backup/at
 
--> Testing: http://192.168.1.35/backup/AT-admin.cgi
 
--> Testing: http://192.168.1.35/backup/atom
 
--> Testing: http://192.168.1.35/backup/attach
 
--> Testing: http://192.168.1.35/backup/attach_mod
 
--> Testing: http://192.168.1.35/backup/attachment
 
--> Testing: http://192.168.1.35/backup/attachments
 
--> Testing: http://192.168.1.35/backup/attachs
 
--> Testing: http://192.168.1.35/backup/attic
 
--> Testing: http://192.168.1.35/backup/au
 
--> Testing: http://192.168.1.35/backup/auction
 
